SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230102000000,L0001,84,75,88,80,1,1,1,1,A,A,84
20230102000004,L0001,97,95,91,97,1,1,1,1,A,A,97
20230102000008,L0001,90,95,90,89,1,1,1,1,B,A,80
20230102000012,L0001,83,88,78,95,1,1,1,1,A,A,96
20230102000016,L0001,74,72,90,80,1,1,1,1,A,A,97
20230102000020,L0001,72,100,100,78,1,1,1,1,A,A,83
20230102000024,L0001,81,89,97,79,1,1,1,1,B,A,88
20230102000028,L0001,93,97,98,97,1,1,1,1,A,A,89
20230102000032,L0001,82,71,89,82,1,1,1,1,B,A,84
20230102000036,L0001,97,84,80,89,1,1,1,1,A,A,92
20230102000040,L0001,94,98,75,81,1,1,1,1,A,A,82
20230102000044,L0001,73,100,86,93,1,1,1,1,B,B,89
20230102000048,L0001,99,71,75,82,1,1,1,1,A,A,90
20230102000052,L0001,90,79,91,79,1,1,1,1,A,A,64
20230102000056,L0001,85,91,96,84,1,1,1,1,A,A,83
20230102000100,L0001,71,72,100,89,1,1,1,1,A,A,89
20230102000104,L0001,91,87,86,100,1,1,1,1,A,B,87
20230102000108,L0001,95,92,99,90,1,1,1,1,A,A,87
20230102000112,L0001,72,74,99,96,1,1,1,1,B,B,71
20230102000116,L0001,99,80,94,88,1,1,1,1,B,A,84
20230102000120,L0001,80,99,73,81,1,1,1,1,A,A,71
20230102000124,L0001,84,86,84,89,1,1,1,1,A,A,86
20230102000128,L0001,70,98,95,77,1,1,1,1,A,A,91
20230102000132,L0001,100,76,83,92,1,1,1,1,A,A,90
20230102000136,L0001,94,73,72,77,1,1,1,1,A,A,94
20230102000140,L0001,78,83,75,79,1,1,1,1,A,B,91
20230102000144,L0001,100,87,95,80,1,1,1,1,A,A,90
20230102000148,L0001,92,73,88,90,1,1,1,1,A,A,97
20230102000152,L0001,72,70,89,90,1,1,1,1,A,A,100
20230102000156,L0001,96,91,98,80,1,1,1,1,A,A,81
20230102000200,L0001,94,86,83,95,1,1,1,1,A,A,96
20230102000204,L0001,75,82,88,87,1,1,1,1,B,A,81
20230102000208,L0001,85,80,86,90,1,1,1,1,A,B,96
20230102000212,L0001,82,75,95,98,1,1,1,1,A,A,50
20230102000216,L0001,86,80,100,81,1,1,1,1,A,A,87
20230102000220,L0001,81,81,70,70,1,1,1,1,A,A,80
20230102000224,L0001,87,97,88,84,1,1,1,1,A,A,88
20230102000228,L0001,84,99,99,100,1,1,1,1,A,A,50
20230102000232,L0001,82,100,97,88,1,1,1,1,A,B,81
20230102000236,L0001,85,81,70,83,1,1,1,1,A,A,87
20230102000240,L0001,89,100,96,87,1,1,1,1,A,A,86
20230102000244,L0001,82,96,80,97,1,1,1,1,B,A,99
20230102000248,L0001,92,86,99,83,1,1,1,1,B,A,85
20230102000252,L0001,87,98,76,83,1,1,1,1,A,A,87
SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230102000256,L0001,96,96,80,87,1,1,1,1,B,A,100
