SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230201000000,Z0001,89,83,84,99,1,1,1,1,A,A,80
20230201000004,Z0001,95,74,100,82,1,1,1,1,A,A,96
20230201000008,Z0001,83,99,80,88,1,1,1,1,A,A,92
20230201000012,Z0001,91,89,90,91,1,1,1,1,A,B,63
20230201000016,Z0001,82,89,84,88,1,1,1,1,A,A,84
20230201000020,Z0001,81,81,86,81,1,1,1,1,A,A,61
20230201000024,Z0001,100,90,85,91,1,1,1,1,A,A,92
20230201000028,Z0001,71,72,80,89,1,1,1,1,A,A,86
20230201000032,Z0001,83,92,92,88,1,1,1,1,B,B,93
20230201000036,Z0001,83,71,77,88,1,1,1,1,B,A,86
20230201000040,Z0001,84,92,80,98,1,1,1,1,A,A,89
20230201000044,Z0001,99,87,83,96,1,1,1,1,A,A,88
20230201000048,Z0001,100,89,91,77,1,1,1,1,A,A,72
20230201000052,Z0001,78,70,81,84,1,1,1,1,B,A,84
20230201000056,Z0001,85,93,84,93,1,1,1,1,A,A,83
20230201000100,Z0001,93,91,78,92,1,1,1,1,B,A,92
20230201000104,Z0001,96,96,86,100,1,1,1,1,A,A,95
20230201000108,Z0001,81,74,98,86,1,1,1,1,A,A,97
20230201000112,Z0001,89,77,95,80,1,1,1,1,A,A,80
20230201000116,Z0001,73,80,97,93,1,1,1,1,B,A,83
20230201000120,Z0001,100,98,90,85,1,1,1,1,A,A,92
20230201000124,Z0001,97,90,84,86,1,1,1,1,B,A,94
20230201000128,Z0001,92,71,81,100,1,1,1,1,A,A,61
20230201000132,Z0001,74,92,87,94,1,1,1,1,A,B,83
SmartCar Status Information,CarNum,TireFL,TireFR,TireBL,TireBR,LightFL,LightFR,LightBL,LightBR,EngineInfo,BreakInfo,BatteryInfo
20230201000136,Z0001,74,87,93,94,1,1,1,1,A,A,94
20230201000000,J0002,71,99,80,88,1,1,1,1,A,A,100
20230201000140,Z0001,78,70,95,81,1,1,1,1,A,A,88
20230201000004,J0002,83,70,81,100,1,1,1,1,A,A,95
20230201000144,Z0001,79,90,84,92,1,1,1,1,A,A,85
20230201000148,Z0001,85,75,82,89,1,1,1,1,B,A,84
20230201000008,J0002,100,85,76,87,1,1,1,1,B,A,80
20230201000012,J0002,71,100,91,87,1,1,1,1,A,A,63
20230201000152,Z0001,80,83,87,96,1,1,1,1,A,A,82
20230201000016,J0002,81,85,94,88,1,1,1,1,A,A,94
20230201000020,J0002,100,75,96,99,1,1,1,1,A,A,93
20230201000156,Z0001,71,83,92,89,1,1,1,1,B,B,92
20230201000024,J0002,86,92,98,99,1,1,1,1,B,A,56
20230201000200,Z0001,80,77,85,93,1,1,1,1,A,A,63
20230201000028,J0002,89,81,85,89,1,1,1,1,B,A,82
20230201000204,Z0001,94,92,99,82,1,1,1,1,A,A,84
20230201000208,Z0001,81,78,89,96,1,1,1,1,B,A,89
20230201000032,J0002,93,96,83,85,1,1,1,1,B,B,89
20230201000212,Z0001,100,99,93,73,1,1,1,1,A,A,67
20230201000036,J0002,81,91,77,84,1,1,1,1,A,A,89
20230201000216,Z0001,97,100,87,95,1,1,1,1,A,B,86
20230201000040,J0002,81,89,85,85,1,1,1,1,A,A,59
20230201000220,Z0001,95,93,95,99,1,1,1,1,A,A,83
20230201000044,J0002,91,72,80,81,1,1,1,1,B,A,93
20230201000224,Z0001,74,90,72,93,1,1,1,1,A,A,87
20230201000048,J0002,83,90,75,83,1,1,1,1,A,A,91
20230201000228,Z0001,89,82,80,88,1,1,1,1,B,A,85
20230201000052,J0002,84,78,89,78,1,1,1,1,B,A,84
20230201000232,Z0001,95,93,87,84,1,1,1,1,A,A,84
20230201000056,J0002,86,77,98,93,1,1,1,1,A,A,94
20230201000236,Z0001,92,91,83,93,1,1,1,1,A,A,85
20230201000100,J0002,92,80,89,96,1,1,1,1,A,A,83
20230201000240,Z0001,92,78,81,74,1,1,1,1,A,A,96
20230201000244,Z0001,93,80,83,93,1,1,1,1,A,A,95
20230201000104,J0002,83,80,85,73,1,1,1,1,B,B,67
20230201000248,Z0001,86,90,95,93,1,1,1,1,A,A,89
20230201000108,J0002,90,82,79,95,1,1,1,1,A,A,89
