Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20230201000000,J0001,2,0,R3,R,10,F07
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20230201000000,I0002,1,0,R1,R,1,D04
Driver Status Infomation,CarNum,AccStep,BrkStep,WheelStep,DirLightStep,Speed,AreaNum
20230201000000,R0003,0,1,F,N,0,F01
20230201000002,J0001,3,0,F,N,25,F01
20230201000002,I0002,3,0,F,N,16,D04
20230201000002,R0003,0,0,F,N,0,F02
20230201000004,J0001,0,0,F,N,25,F08
20230201000004,I0002,2,0,F,N,26,D03
20230201000004,R0003,4,0,L3,L,6,F08
20230201000006,J0001,0,2,F,N,5,F02
20230201000006,I0002,1,0,F,N,9,D04
20230201000006,R0003,1,0,R2,R,11,F04
20230201000008,J0001,2,0,F,N,15,F08
20230201000008,I0002,0,1,F,N,0,D06
20230201000008,R0003,1,0,F,N,16,F04
20230201000010,J0001,4,0,R2,R,35,F08
20230201000010,I0002,3,0,F,N,15,D06
20230201000010,R0003,5,0,F,N,41,F09
20230201000012,J0001,0,2,F,N,15,F02
20230201000012,I0002,1,0,F,N,20,D08
20230201000012,R0003,0,0,F,N,41,F07
20230201000014,J0001,0,0,F,N,15,F08
20230201000014,I0002,0,1,F,N,10,D08
20230201000014,R0003,1,0,F,N,46,F10
20230201000016,J0001,3,0,L1,L,30,F08
20230201000016,I0002,4,0,F,N,30,D01
20230201000016,R0003,3,0,F,N,61,F08
20230201000018,J0001,3,0,L2,L,45,F03
20230201000018,I0002,2,0,F,N,40,D06
20230201000018,R0003,4,0,F,N,24,F08
20230201000020,J0001,0,0,R3,R,45,F01
20230201000020,I0002,0,0,F,N,40,D01
20230201000020,R0003,0,1,F,N,14,F09
20230201000022,J0001,3,0,F,N,60,F04
20230201000022,I0002,0,1,R3,R,30,D07
20230201000022,R0003,5,0,F,N,39,F07
20230201000024,J0001,1,0,L3,L,65,F01
20230201000024,I0002,0,1,F,N,20,D01
20230201000024,R0003,2,0,F,N,49,F03
20230201000026,J0001,1,0,F,N,70,F06
20230201000026,I0002,1,0,F,N,25,D01
20230201000026,R0003,1,0,F,N,54,F06
20230201000028,J0001,1,0,F,N,75,F10
20230201000028,I0002,1,0,F,N,9,D10
20230201000028,R0003,0,0,F,N,54,F09
20230201000030,J0001,1,0,F,N,80,F05
20230201000030,I0002,0,1,F,N,0,D05
20230201000030,R0003,0,1,F,N,44,F09
20230201000032,J0001,0,1,F,N,70,F07
20230201000032,I0002,3,0,R1,R,15,D07
20230201000032,R0003,3,0,F,N,59,F08
20230201000034,J0001,3,0,F,N,25,F08
20230201000034,I0002,1,0,F,N,20,D04
20230201000034,R0003,0,0,R3,R,59,F08
20230201000036,J0001,1,0,F,N,30,F06
20230201000036,I0002,1,0,F,N,25,D07
20230201000036,R0003,2,0,F,N,69,F04
20230201000038,J0001,5,0,R2,R,55,F05
20230201000038,I0002,5,0,F,N,50,D06
20230201000038,R0003,3,0,F,N,84,F05
20230201000040,J0001,3,0,F,N,70,F09
20230201000040,I0002,1,0,R3,R,55,D03
20230201000040,R0003,1,0,L2,L,89,F02
20230201000042,J0001,1,0,L3,L,75,F03
20230201000042,I0002,3,0,R2,R,70,D04
20230201000042,R0003,0,0,F,N,89,F01
20230201000044,J0001,1,0,F,N,80,F05
20230201000044,I0002,1,0,L3,L,75,D10
20230201000044,R0003,0,0,F,N,89,F02
20230201000046,J0001,2,0,F,N,90,F01
20230201000046,I0002,4,0,R3,R,95,D04
20230201000046,R0003,1,0,F,N,94,F02
20230201000048,J0001,3,0,L3,L,105,F03
20230201000048,I0002,5,0,F,N,120,D08
20230201000048,R0003,1,0,F,N,29,F07
20230201000050,J0001,3,0,R3,R,120,F10
20230201000050,I0002,1,0,L3,L,125,D05
20230201000050,R0003,3,0,F,N,44,F08
20230201000052,J0001,0,3,F,N,90,F06
20230201000052,I0002,3,0,F,N,140,D01
20230201000052,R0003,5,0,F,N,69,F04
20230201000054,J0001,0,1,F,N,80,F04
20230201000054,I0002,1,0,F,N,145,D10
20230201000054,R0003,5,0,L2,L,28,F10
20230201000056,J0001,1,0,F,N,25,F08
20230201000056,I0002,3,0,F,N,160,D10
20230201000056,R0003,1,0,R3,R,33,F07
20230201000058,J0001,0,2,F,N,5,F07
20230201000058,I0002,5,0,F,N,185,D01
20230201000058,R0003,4,0,F,N,53,F04
20230201000100,J0001,2,0,F,N,15,F09
20230201000100,I0002,3,0,R3,R,200,D07
20230201000100,R0003,3,0,F,N,68,F03
20230201000102,J0001,3,0,F,N,9,F08
20230201000102,I0002,3,0,F,N,215,D03
20230201000102,R0003,4,0,L3,L,88,F07
20230201000104,J0001,3,0,F,N,24,F07
20230201000104,I0002,1,0,F,N,66,D07
20230201000104,R0003,1,0,F,N,93,F02
20230201000106,J0001,3,0,L2,L,39,F10
20230201000106,I0002,2,0,F,N,76,D07
20230201000106,R0003,0,0,F,N,93,F01
20230201000108,J0001,2,0,F,N,49,F07
20230201000108,I0002,1,0,L2,L,81,D05
20230201000108,R0003,3,0,F,N,108,F03
20230201000110,J0001,1,0,F,N,54,F03
20230201000110,I0002,3,0,F,N,96,D06
20230201000110,R0003,3,0,R2,R,123,F07
20230201000112,J0001,2,0,F,N,64,F06
20230201000112,I0002,1,0,F,N,101,D05
20230201000112,R0003,2,0,L2,L,133,F02
20230201000114,J0001,2,0,F,N,74,F09
20230201000114,I0002,1,0,F,N,106,D08
20230201000114,R0003,0,1,F,N,123,F08
20230201000116,J0001,1,0,F,N,79,F06
20230201000116,I0002,3,0,L2,L,121,D04
20230201000116,R0003,1,0,F,N,38,F06
20230201000118,J0001,3,0,R3,R,94,F08
20230201000118,I0002,4,0,F,N,141,D08
20230201000118,R0003,1,0,L2,L,43,F02
20230201000120,J0001,0,1,F,N,84,F04
20230201000120,I0002,4,0,F,N,161,D01
20230201000120,R0003,0,1,F,N,33,F06
20230201000122,J0001,2,0,L1,L,94,F09
20230201000122,I0002,1,0,F,N,166,D09
20230201000122,R0003,3,0,L2,L,48,F02
20230201000124,J0001,2,0,F,N,104,F07
20230201000124,I0002,1,0,F,N,171,D08
20230201000124,R0003,0,1,F,N,38,F01
20230201000126,J0001,5,0,R1,R,129,F07
20230201000126,I0002,0,3,F,N,141,D06
20230201000126,R0003,1,0,F,N,43,F03
20230201000128,J0001,3,0,F,N,144,F03
20230201000128,I0002,2,0,F,N,151,D06
20230201000128,R0003,5,0,F,N,68,F03
20230201000130,J0001,3,0,F,N,159,F03
20230201000130,I0002,0,0,F,N,151,D02
20230201000130,R0003,3,0,F,N,83,F05
20230201000132,J0001,3,0,F,N,174,F04
20230201000132,I0002,1,0,F,N,156,D07
20230201000132,R0003,3,0,F,N,98,F05
20230201000134,J0001,0,2,R1,R,154,F09
20230201000134,I0002,0,1,F,N,146,D06
20230201000134,R0003,5,0,R2,R,123,F05
20230201000136,J0001,1,0,F,N,159,F10
20230201000136,I0002,0,0,L3,L,146,D04
20230201000136,R0003,3,0,F,N,138,F03
20230201000138,J0001,2,0,R2,R,169,F05
20230201000138,I0002,1,0,L2,L,151,D08
